species,trait,model,correlation_mean,correlation_SD,RMSE_mean,RMSE_SD
pine,BLC,BayesC,0.793220856483483,0.025980191920581,0.185945836286426,0.00951509374604116
pine,BLC,GBLUP,0.79218327903019,0.0277229755706127,0.18623960535931,0.0100826665773388
pine,BLC,LightGBM,0.78935268663139,0.0312595860486777,0.188155193662775,0.00993683585719029
pine,BLC,RF,0.781353913028954,0.032371053635217,0.197228846344365,0.00979245694724353
pine,BLC,RKHS,0.793759689084544,0.0280010086899191,0.185690218766291,0.0100054329698659
pine,BLC,XGBoost,0.789397639212391,0.0310963472655559,0.187568573363258,0.0103453512208811
pine,CWAC,BL,0.722634375992437,0.0287513095145286,19.1174659834893,0.710286049130707
pine,CWAC,BRR,0.722375001656559,0.0283270537557914,19.1295947645912,0.698061478804085
pine,CWAC,BayesA,0.722250911580993,0.0284981912554133,19.1264099615223,0.730737066579595
pine,CWAC,BayesB,0.721047492368763,0.026182469450885,19.1477434399946,0.703367760238404
pine,CWAC,BayesC,0.722375143956573,0.0265876109310496,19.1247264593313,0.717763668500211
pine,CWAC,GBLUP,0.720424806970419,0.0279309306025017,19.1677685174181,0.719835021127866
pine,CWAC,LightGBM,0.712531510166526,0.0265069356848552,19.4250619397985,0.70868352786029
pine,CWAC,RF,0.705083394932945,0.0318752974863901,20.1021702357414,0.771063598109805
pine,CWAC,RKHS,0.722386177491809,0.0271199329314368,19.1248253864451,0.704940617075539
pine,CWAC,XGBoost,0.712268749592953,0.0267939535958047,19.4179643900315,0.680404656333622
pine,CWAL,BL,0.771531515735066,0.0264616483291554,8.95842616151311,0.423587187801011
pine,CWAL,BRR,0.773568744214432,0.0261579675010949,8.92575597379527,0.440785793627445
pine,CWAL,BayesA,0.773676607263945,0.0244594866868398,8.92216825418558,0.449636384616785
pine,CWAL,BayesB,0.772655443764607,0.0240925134958655,8.9372019892208,0.429163439439007
pine,CWAL,BayesC,0.772753343748023,0.0244041942446042,8.93555987671323,0.445817324479839
pine,CWAL,GBLUP,0.770907777002246,0.0251528749159781,8.96522327731535,0.45977936997276
pine,CWAL,LightGBM,0.768359353723535,0.0290108260305291,9.03929985624114,0.437045363106583
pine,CWAL,RF,0.764422943530165,0.0302515782501396,9.38422180335519,0.439086054651152
pine,CWAL,RKHS,0.771861439665736,0.0265451721379335,8.95404282814053,0.454209952702983
pine,CWAL,XGBoost,0.766242790100033,0.02969388357128,9.04650127963188,0.459017843016805
pine,DBH,BL,0.728096159022161,0.0283041874283288,0.66916468702192,0.0361979234013288
pine,DBH,BRR,0.727206252034495,0.0287801529457648,0.670087003274254,0.0355232726137908
pine,DBH,BayesA,0.725347528416885,0.0281416051311047,0.671861528232774,0.0362565401542969
pine,DBH,BayesB,0.722808133669128,0.0288326677529302,0.674046005616836,0.0360875137664481
pine,DBH,BayesC,0.725272441461023,0.0289338057282688,0.671925639275085,0.037511382914678
pine,DBH,GBLUP,0.726831696664379,0.0282841399678296,0.670136361793714,0.0352169042009985
pine,DBH,LightGBM,0.716463543125954,0.0278438431342813,0.68097763373624,0.0310924734680467
pine,DBH,RF,0.719315685114598,0.0291616279718125,0.699376210160263,0.029067964487127
pine,DBH,RKHS,0.729848093062944,0.0290955692534506,0.667143142635424,0.0350666612637185
pine,DBH,XGBoost,0.720726085273938,0.0313870959029887,0.677803422008804,0.0350760396552957
pine,HT,BL,0.629165078532468,0.048384972616744,34.525604789956,2.26893493880964
pine,HT,BRR,0.634255035043024,0.0425914750030165,34.3458800835489,2.06513417521002
pine,HT,BayesA,0.636845917702365,0.039092990497576,34.2476248316329,1.9044195757826
pine,HT,BayesB,0.631260552057989,0.0412762807529349,34.4345987246364,1.95961558659104
pine,HT,BayesC,0.636044503910071,0.0388187201677377,34.2591141566417,1.95812206417657
pine,HT,GBLUP,0.632095205441373,0.038912365801064,34.4182663450504,1.95762904336979
pine,HT,LightGBM,0.627080643488097,0.0429369370520328,34.5759503764225,1.63716650893744
pine,HT,RF,0.628336538959728,0.0450883017418373,35.3197421725332,1.98553859614993
pine,HT,RKHS,0.638361687595871,0.0402720327766478,34.1864917104877,1.84331701251753
pine,HT,XGBoost,0.632648201128038,0.0452033431745794,34.3689494205432,1.6918581746061
pine,HTLC,BL,0.779609783674576,0.0337960535517698,9.07495990043134,0.613574493234356
pine,HTLC,BRR,0.779784478982735,0.033874360573105,9.07064185724326,0.621876235114315
pine,HTLC,BayesA,0.779681176511758,0.0341613644598646,9.07189486123726,0.604171198445716
pine,HTLC,BayesB,0.776182939701606,0.0342661874729845,9.13120276202678,0.61365215487337
pine,HTLC,BayesC,0.779128788699793,0.0342908711076454,9.08107893715752,0.602527066552654
pine,HTLC,GBLUP,0.778095326901817,0.0343463557089977,9.0996227655635,0.601381845659581
pine,HTLC,LightGBM,0.769775964651947,0.0310221078241458,9.26106212032005,0.625281850227657
pine,HTLC,RF,0.77126839294987,0.0359141963299857,9.46788992870047,0.675409476118688
pine,HTLC,RKHS,0.778459706059705,0.0344569868761675,9.09132260784621,0.620266573011784
pine,HTLC,XGBoost,0.774035759927471,0.033203826466944,9.18043207480668,0.564356620331844
pine,c5c6,BL,0.9008004160075,0.012669129678947,0.326308121042941,0.0161518063174804
pine,c5c6,BRR,0.901247518704135,0.0124662453375962,0.325609423517295,0.0162731657980472
pine,c5c6,BayesA,0.900618311728472,0.0123226504156967,0.326508023771477,0.0162355073630232
pine,c5c6,BayesB,0.898944341774012,0.013639508815229,0.328924541812683,0.0172030646454785
pine,c5c6,BayesC,0.899685456195022,0.013615483673734,0.32782166989879,0.0169506616570215
pine,c5c6,GBLUP,0.899339264384304,0.012620096421988,0.328333040431223,0.016175738893052
pine,c5c6,LightGBM,0.907216078094786,0.0128897439191976,0.323074188981425,0.0196839120961471
pine,c5c6,RF,0.908797976458272,0.0137363109432951,0.358790177965264,0.0233945050230408
pine,c5c6,RKHS,0.903021342759081,0.0119874143830367,0.323566347928256,0.0156219124615059
pine,c5c6,XGBoost,0.901093427004827,0.014722282126527,0.329503972542856,0.0214199644428816
pine,density,BL,0.941896574023204,0.00953084538521948,0.197538293761231,0.0130951489663838
pine,density,BRR,0.941948225399971,0.00923659232151766,0.197390607959894,0.0128462844986275
pine,density,BayesA,0.941835066501726,0.00940265169923599,0.197637344689215,0.0129671930966807
pine,density,BayesB,0.940639626266998,0.00946816242777058,0.199499214160162,0.0128405256940901
pine,density,BayesC,0.941228780325995,0.00965942457051809,0.198551331868979,0.0131406193706405
pine,density,GBLUP,0.941230724542481,0.00919561203251135,0.198481579555509,0.0127686372055719
pine,density,LightGBM,0.944318222642796,0.0101927589465472,0.198257429750486,0.0149473506468913
pine,density,RF,0.943235032774593,0.0106342568040661,0.236046293535803,0.0149098998407018
pine,density,RKHS,0.94389700428347,0.0093055444811813,0.19508320762745,0.0128566496654001
pine,density,XGBoost,0.937437932733993,0.0122398101233458,0.205315444873569,0.0166917311834838
pine,gall,BL,0.893992463247841,0.0156179691494491,0.163274269746076,0.00794531964596135
pine,gall,BRR,0.891944023698189,0.0159704726778798,0.164687814080112,0.00821089426877706
pine,gall,BayesA,0.894461873455479,0.0154729289489903,0.162884630567497,0.00795573586492677
pine,gall,BayesB,0.894158180042178,0.0160637241243065,0.162981410491847,0.00779705538958123
pine,gall,BayesC,0.893555136376007,0.0157349433281057,0.163507161443019,0.00758436708075192
pine,gall,GBLUP,0.890871668173391,0.0162897551120943,0.165261678787902,0.00842000857586037
pine,gall,LightGBM,0.898700615912362,0.0154954750430795,0.163202473718504,0.0090719356488832
pine,gall,RF,0.893261395604726,0.0147032677780188,0.183017771342706,0.0104968596444237
pine,gall,RKHS,0.896889884711581,0.014498956586289,0.161674365726894,0.00813291592612661
pine,gall,XGBoost,0.893099012891805,0.0154166842091239,0.166366240815196,0.00836803904793921
pine,lateWood.4,BL,0.903068669754223,0.00958544167072749,0.20807771893752,0.0113497408380724
pine,lateWood.4,BRR,0.903018883380708,0.00947135722533538,0.208146155826053,0.0111411403515318
pine,lateWood.4,BayesA,0.902439678935068,0.00985783913389142,0.208746841368316,0.0113525295342299
pine,lateWood.4,BayesB,0.901211413278348,0.00974072380893905,0.209910157279071,0.0115638809267294
pine,lateWood.4,BayesC,0.902013294906727,0.00987183424447734,0.209089508960637,0.0112636595706101
pine,lateWood.4,GBLUP,0.901146942926337,0.00945066280074024,0.209935932138373,0.011072729756321
pine,lateWood.4,LightGBM,0.903001382305844,0.0120559725166681,0.209085637493569,0.0119142649304749
pine,lateWood.4,RF,0.906325365848362,0.0120869216250656,0.226475042865614,0.0151829727515345
pine,lateWood.4,RKHS,0.904711381233047,0.00955204019337548,0.206625551879373,0.011422180400436
pine,lateWood.4,XGBoost,0.906579002300409,0.0112389470841057,0.207101965165178,0.0126422580255528
pine,lignin,BL,0.901763048586959,0.0132981004365639,0.1140645794286,0.00649728587909018
pine,lignin,BRR,0.90314835293613,0.0109918531506264,0.113306970931515,0.00544228890512462
pine,lignin,BayesA,0.902263764486456,0.0116197612629174,0.113788892971903,0.00577056199067374
pine,lignin,BayesB,0.900408689271004,0.0118307328446819,0.11476565883265,0.00584747409453489
pine,lignin,BayesC,0.901539770907247,0.0112802040346694,0.114196803494373,0.00554599558007723
pine,lignin,GBLUP,0.900288547409117,0.0125199536988157,0.114801433209093,0.00597009369323898
pine,lignin,LightGBM,0.906161103542632,0.00982616417936185,0.113421163259112,0.0053179394962262
pine,lignin,RF,0.907093720670217,0.0106477186262364,0.124949030013448,0.00679396867525768
pine,lignin,RKHS,0.904058200815919,0.0107692313623081,0.11293430244983,0.00550415256107705
pine,lignin,XGBoost,0.900612391892622,0.0104113770869233,0.117021496273315,0.00526247357248963
pine,rootnum,BL,0.868825631045276,0.0227066614150118,0.120775692268887,0.00697439974428563
pine,rootnum,BRR,0.867677327221879,0.0226925768518566,0.121257627439727,0.00686344342763961
pine,rootnum,BayesA,0.868220669532633,0.0227145858090704,0.121032145254475,0.00698804863485878
pine,rootnum,BayesB,0.865467904310507,0.0230088058516641,0.122064581174512,0.00715825145259099
pine,rootnum,BayesC,0.867587054486304,0.0227035312010222,0.121213237267172,0.00684954614587959
pine,rootnum,GBLUP,0.865605805260112,0.023299757736113,0.122036306517358,0.00705473915849497
pine,rootnum,LightGBM,0.871450615931403,0.0227224279884997,0.121340344969976,0.00686918470614222
pine,rootnum,RF,0.872166821255973,0.0232487406945738,0.130914409204992,0.00696951145237939
pine,rootnum,RKHS,0.86986966526065,0.0224146159103373,0.12051459579687,0.0068695421058657
pine,rootnum,XGBoost,0.869932586857927,0.0209137194481047,0.121301918691266,0.00593819651301798
pine,rootnumbin,BL,0.850214923814143,0.0212645897459164,0.0490658461842471,0.00264510486039049
pine,rootnumbin,BRR,0.848807166760319,0.0215461600931953,0.049257569588607,0.00255375479861126
pine,rootnumbin,BayesA,0.84850094905072,0.0212884007113821,0.0492935219679368,0.00249462984000193
pine,rootnumbin,BayesB,0.847712968677352,0.0211032327752021,0.0494003768035626,0.00254196983073929
pine,rootnumbin,BayesC,0.848628207262569,0.0215251630484168,0.049283129230258,0.00254087587167868
pine,rootnumbin,GBLUP,0.845577622552348,0.0224269439285664,0.0497000080679385,0.00263486430918652
pine,rootnumbin,LightGBM,0.858723697080486,0.0216252797171868,0.0484685810364265,0.00258040946628024
pine,rootnumbin,RF,0.860047754924667,0.0225832317538125,0.0516415822812205,0.00282356322642017
pine,rootnumbin,RKHS,0.849065723873848,0.0217357778715241,0.0492371120725894,0.00256297181927677
pine,rootnumbin,XGBoost,0.852287044199268,0.0227609303454193,0.0492651465077175,0.00236721361575481
pine,rustbin,BL,0.85542645736252,0.0245852934269729,0.0784614447922845,0.0027254767895641
pine,rustbin,BRR,0.853035375827732,0.0246478417752128,0.0790807858492641,0.00260073066134366
pine,rustbin,BayesA,0.857906661547688,0.0242022351064748,0.0778687814705773,0.00269942557850572
pine,rustbin,BayesB,0.857780769304709,0.0255756617906576,0.0778301905612902,0.00290163916426974
pine,rustbin,BayesC,0.855656521397121,0.0231226845445789,0.0784125560321508,0.00279921227988157
pine,rustbin,GBLUP,0.849970393813585,0.0255814936048184,0.0797392906471064,0.00297228280559585
pine,rustbin,LightGBM,0.866871663647837,0.0222454406246949,0.0763818506649637,0.0023466811890561
pine,rustbin,RF,0.861358234539854,0.0214913589086233,0.0840465150637464,0.00315972000135692
pine,rustbin,RKHS,0.856272572685692,0.0230877167906779,0.0783841482295195,0.00236235184909805
pine,rustbin,XGBoost,0.865628954517062,0.022048738470348,0.0766603481908835,0.00311502587532302
pine,stiffnessTree,BL,0.870980488466354,0.0122650262850559,0.270986300533189,0.0133303602765455
pine,stiffnessTree,BRR,0.870473602701375,0.0125138875243919,0.271415206790335,0.0127442720457348
pine,stiffnessTree,BayesA,0.870371055467636,0.0129040162358026,0.271489220045125,0.0131586167032852
pine,stiffnessTree,BayesB,0.867719021123145,0.0129366885507707,0.27397560939655,0.0121096723450155
pine,stiffnessTree,BayesC,0.86997409548902,0.0137487305757377,0.271724408757792,0.01322457530614
pine,stiffnessTree,GBLUP,0.86942593093121,0.0131977316969946,0.272128690400234,0.0128364345062493
pine,stiffnessTree,LightGBM,0.861724690172715,0.014446776228178,0.283285398741194,0.0165155393839108
pine,stiffnessTree,RF,0.859798961465299,0.0145808339173454,0.305432784835212,0.0186075561677526
pine,stiffnessTree,RKHS,0.868858655627079,0.0135669017490543,0.273184956540465,0.0142788483708911
pine,stiffnessTree,XGBoost,0.85949360300123,0.0138182383349601,0.287182422821325,0.016741126562326
rice,Alkali_spreading_value,BL,0.313788207473531,0.108794004964814,0.990360213255285,0.142496769271237
rice,Alkali_spreading_value,BRR,0.317060005345658,0.108323903577186,0.989694946220549,0.142480856822213
rice,Alkali_spreading_value,BayesA,0.308503989994034,0.109236517053767,0.994554195093637,0.144918725738803
rice,Alkali_spreading_value,BayesB,0.311023756429146,0.108028639467306,0.992289378715154,0.140748977867611
rice,Alkali_spreading_value,BayesC,0.31660288211225,0.10678118359555,0.989850516076192,0.142755910080802
rice,Alkali_spreading_value,GBLUP,0.314370800391557,0.10771901417052,0.990624163921421,0.142331221146849
rice,Alkali_spreading_value,LightGBM,0.322616510741079,0.10172728967545,1.00616463214652,0.133161724444474
rice,Alkali_spreading_value,RF,0.360310320732757,0.0982402676654508,0.973168199939292,0.137352593079955
rice,Alkali_spreading_value,RKHS,0.308725901400646,0.106755805193959,0.994071662977875,0.140448852667867
rice,Alkali_spreading_value,XGBoost,0.349432576677703,0.10888595263941,0.989810112587737,0.12856074662806
rice,Amylose_content,BL,0.668118068795394,0.060785598600409,3.90334754043321,0.682614853022594
rice,Amylose_content,BRR,0.667279086251748,0.0614333975743872,3.90379564461454,0.688739908555266
rice,Amylose_content,BayesA,0.666373568410919,0.0607460839060037,3.90931308492972,0.672835331306768
rice,Amylose_content,BayesB,0.668271905117234,0.0593766906777061,3.89909479344289,0.674024274079017
rice,Amylose_content,BayesC,0.668421191663203,0.0595390874740618,3.89722311220037,0.67778447116653
rice,Amylose_content,GBLUP,0.667852702324849,0.0607901211428032,3.90048566978117,0.683327633739007
rice,Amylose_content,LightGBM,0.70843761274857,0.0583703840723439,3.69975275894693,0.641263733992901
rice,Amylose_content,RF,0.713037579924076,0.0569603581797371,3.67756998083955,0.609808930936352
rice,Amylose_content,RKHS,0.664594462064699,0.0595357288119875,3.92166102502559,0.677646497806727
rice,Amylose_content,XGBoost,0.731223294008234,0.051528560514678,3.57697481661964,0.579406354836986
rice,Awn_presence,BL,0.222554943879351,0.110214196213177,0.413209800226163,0.0223556059394649
rice,Awn_presence,BRR,0.224398494550185,0.108794701953828,0.413021778662471,0.022769238595748
rice,Awn_presence,BayesA,0.239152152765254,0.100092851980658,0.412334824764289,0.0229636287676683
rice,Awn_presence,BayesB,0.240732335862564,0.105274369118912,0.411422345566635,0.0222687165691111
rice,Awn_presence,BayesC,0.226055644756496,0.1053322804428,0.412975426383401,0.0225580594250959
rice,Awn_presence,GBLUP,0.226531327199558,0.107014458644474,0.412876145678823,0.0224854083146673
rice,Awn_presence,LightGBM,0.248528037803028,0.121304437231005,0.409908433133896,0.023512015189685
rice,Awn_presence,RF,0.230402468588986,0.122286494423283,0.412398997039927,0.0238621243371157
rice,Awn_presence,RKHS,0.215383054998189,0.110703957836178,0.413987076848316,0.0227172134908265
rice,Awn_presence,XGBoost,0.277990243346721,0.115067082107746,0.40770673159922,0.0184357399384213
rice,Blast_resistance,BL,0.52046726915298,0.0849266806262967,2.4854756763036,0.14711333263341
rice,Blast_resistance,BRR,0.520186218671028,0.0840268337968302,2.48584150168554,0.142604610850878
rice,Blast_resistance,BayesA,0.519123634979933,0.0860116539490794,2.48502815402102,0.153135947394088
rice,Blast_resistance,BayesB,0.521522272371411,0.0844035173902094,2.48365087500251,0.147840304503321
rice,Blast_resistance,BayesC,0.52059413205211,0.084418640454889,2.4844825303801,0.14736403401525
rice,Blast_resistance,GBLUP,0.520257652036256,0.0831745379816343,2.48521212788433,0.143580581123018
rice,Blast_resistance,LightGBM,0.578466860516456,0.0846276465671033,2.36449825345175,0.155734913508559
rice,Blast_resistance,RF,0.566852544835881,0.0875980895856129,2.3913480392278,0.15668409145586
rice,Blast_resistance,RKHS,0.50702848839265,0.0872030214818878,2.51265716741259,0.138962620614675
rice,Blast_resistance,XGBoost,0.555594771658381,0.0918146232942748,2.4094074945437,0.16749318562507
rice,Brown_rice_length_width_ratio,BL,0.631867615334984,0.0677456468336137,0.396149198633677,0.0354097539374891
rice,Brown_rice_length_width_ratio,BRR,0.630384639805145,0.0674335281209137,0.395108274234574,0.0347986923464725
rice,Brown_rice_length_width_ratio,BayesA,0.631267909880396,0.067619552553506,0.394563089014383,0.0346974942908689
rice,Brown_rice_length_width_ratio,BayesB,0.635063285426785,0.0694063066960658,0.392703793341462,0.0345725902598208
rice,Brown_rice_length_width_ratio,BayesC,0.630916371750152,0.0684757475731269,0.394400367659697,0.035307273589949
rice,Brown_rice_length_width_ratio,GBLUP,0.629327409027213,0.0680970657103002,0.394803619088292,0.0351562214347989
rice,Brown_rice_length_width_ratio,LightGBM,0.678431207736141,0.0550580147047017,0.375263404594326,0.0339649328374577
rice,Brown_rice_length_width_ratio,RF,0.663658379928319,0.0504498595591071,0.383174086319871,0.0322231657950284
rice,Brown_rice_length_width_ratio,RKHS,0.611913219346093,0.0719843285356738,0.402611057592641,0.0341351801701695
rice,Brown_rice_length_width_ratio,XGBoost,0.680412872123684,0.0559738414851498,0.372218514218349,0.0361702424570597
rice,Brown_rice_seed_length,BL,0.538457233764598,0.0733536435470541,0.649923260005574,0.0499740482875916
rice,Brown_rice_seed_length,BRR,0.542315668277467,0.0749030027339695,0.646812226999883,0.0505385011559747
rice,Brown_rice_seed_length,BayesA,0.546575247537296,0.0745876964064643,0.643372663490298,0.0505771451207516
rice,Brown_rice_seed_length,BayesB,0.547633381754306,0.0788196840854439,0.643019501591653,0.0520352225087559
rice,Brown_rice_seed_length,BayesC,0.54444813174731,0.0762270041929661,0.645234951535439,0.0514819883133673
rice,Brown_rice_seed_length,GBLUP,0.543544768883651,0.0754639715826878,0.645633542528324,0.0503457175832002
rice,Brown_rice_seed_length,LightGBM,0.606828287323137,0.0610423558812438,0.612227139007821,0.0502713500246406
rice,Brown_rice_seed_length,RF,0.619917076622853,0.0524001750483128,0.606405926884817,0.0544889871041526
rice,Brown_rice_seed_length,RKHS,0.522134534029553,0.0800377215025498,0.65638925493207,0.0498277715876106
rice,Brown_rice_seed_length,XGBoost,0.627198457397235,0.0567383631822796,0.599057663270964,0.0537415008397004
rice,Brown_rice_seed_width,BL,0.685387087919297,0.0591368054443899,0.231502451110691,0.0205896585674151
rice,Brown_rice_seed_width,BRR,0.687141058100351,0.0564731907065345,0.2301828363701,0.0208289793303726
rice,Brown_rice_seed_width,BayesA,0.685168273225458,0.0569607814459442,0.230714664185989,0.0208943118765252
rice,Brown_rice_seed_width,BayesB,0.687624440504394,0.0548300419889783,0.229907384851795,0.0209864420698571
rice,Brown_rice_seed_width,BayesC,0.688886725823439,0.056516070915041,0.229716525705426,0.0207036842011628
rice,Brown_rice_seed_width,GBLUP,0.688205364840089,0.0571331164535756,0.229869982872722,0.0209824981357857
rice,Brown_rice_seed_width,LightGBM,0.731030730034755,0.0540583124045982,0.21613364847071,0.0209975068781954
rice,Brown_rice_seed_width,RF,0.721353103299907,0.0515334411626737,0.219628573150932,0.0208943039368686
rice,Brown_rice_seed_width,RKHS,0.678048006421632,0.0567257737394262,0.233314721195595,0.0199930309743036
rice,Brown_rice_seed_width,XGBoost,0.731312121665331,0.0502440947875291,0.21562964571035,0.0207636184590645
rice,Brown_rice_surface_area,BL,0.532515456889292,0.0781160056399243,0.116278054829836,0.0104625281793027
rice,Brown_rice_surface_area,BRR,0.538775020086028,0.0746909723815466,0.115559041901662,0.0104811329754232
rice,Brown_rice_surface_area,BayesA,0.54327510306021,0.0749908918743892,0.115425004029454,0.010929121101918
rice,Brown_rice_surface_area,BayesB,0.556398560981828,0.0771316921502532,0.114172411245272,0.0107385633327646
rice,Brown_rice_surface_area,BayesC,0.54130361897618,0.0751382996088623,0.115329937114829,0.0106884364611084
rice,Brown_rice_surface_area,GBLUP,0.538260069255244,0.0742122582489954,0.115621995032715,0.0105308894939717
rice,Brown_rice_surface_area,LightGBM,0.636355371786786,0.073085553392736,0.105592319218493,0.0103898284095902
rice,Brown_rice_surface_area,RF,0.624709044093454,0.0788401774131505,0.107129653944639,0.0110202120442238
rice,Brown_rice_surface_area,RKHS,0.523080430886894,0.0799264365724168,0.116956473591773,0.0107793763645772
rice,Brown_rice_surface_area,XGBoost,0.649365712479617,0.0720542291981871,0.104651062261973,0.0102104858057727
rice,Brown_rice_volume,BL,0.624502835768873,0.0582716818651882,1.01452787163918,0.0981912652537327
rice,Brown_rice_volume,BRR,0.629400108088546,0.060627741913776,1.00866866272912,0.101558617857003
rice,Brown_rice_volume,BayesA,0.636644835308992,0.0620109689372167,1.00149846391854,0.105968072177865
rice,Brown_rice_volume,BayesB,0.642457048152108,0.060837402350078,0.994109750127679,0.103237254516968
